"date","close","volume","open","high","low"
"10:48","131.92","11,951,396","130.50","131.95","130.45"
"2017/02/06","130.2900","26784530.0000","129.1300","130.5000","128.9000"
"2017/02/03","129.0800","24460160.0000","128.3100","129.1900","128.1600"
"2017/02/02","128.5300","33671250.0000","127.9750","129.3900","127.7800"
"2017/02/01","128.7500","111837300.0000","127.0300","130.4900","127.0100"
"2017/01/31","121.3500","47767760.0000","121.1500","121.3900","120.6200"
"2017/01/30","121.6300","30327110.0000","120.9300","121.6300","120.6600"
"2017/01/27","121.9500","20495340.0000","122.1400","122.3500","121.6000"
"2017/01/26","121.9400","26320740.0000","121.6700","122.4400","121.6000"
"2017/01/25","121.8800","32417410.0000","120.4200","122.1000","120.2800"
"2017/01/24","119.9700","23191150.0000","119.5500","120.1000","119.5000"
"2017/01/23","120.0800","21982000.0000","120.0000","120.8100","119.7700"
"2017/01/20","120.0000","29922650.0000","120.4500","120.4500","119.7346"
"2017/01/19","119.7800","25554290.0000","119.4000","120.0900","119.3700"
"2017/01/18","119.9900","23687350.0000","120.0000","120.5000","119.7100"
"2017/01/17","120.0000","34412090.0000","118.3400","120.2400","118.2200"
"2017/01/13","119.0400","26083030.0000","119.1100","119.6200","118.8100"
"2017/01/12","119.2500","27057550.0000","118.8950","119.3000","118.2100"
"2017/01/11","119.7500","27453130.0000","118.7400","119.9300","118.6000"
"2017/01/10","119.1100","24432660.0000","118.7700","119.3800","118.3000"
"2017/01/09","118.9900","33420290.0000","117.9500","119.4300","117.9400"
"2017/01/06","117.9100","31714820.0000","116.7800","118.1600","116.4700"
"2017/01/05","116.6100","22115100.0000","115.9200","116.8642","115.8100"
"2017/01/04","116.0200","21081620.0000","115.8500","116.5100","115.7500"
"2017/01/03","116.1500","28769220.0000","115.8000","116.3300","114.7600"
"2016/12/30","115.8200","30555900.0000","116.6500","117.2000","115.4300"
"2016/12/29","116.7300","14979680.0000","116.4500","117.1095","116.4000"
"2016/12/28","116.7600","20686510.0000","117.5200","118.0166","116.2000"
"2016/12/27","117.2600","18131970.0000","116.5200","117.8000","116.4900"
"2016/12/23","116.5200","14244050.0000","115.5900","116.5200","115.5900"
"2016/12/22","116.2900","26043820.0000","116.3500","116.5100","115.6400"
"2016/12/21","117.0600","23724430.0000","116.8000","117.4000","116.7800"
"2016/12/20","116.9500","21337310.0000","116.7400","117.5000","116.6800"
"2016/12/19","116.6400","27756760.0000","115.8000","117.3800","115.7500"
"2016/12/16","115.9700","44284660.0000","116.4700","116.5000","115.6450"
"2016/12/15","115.8200","46286150.0000","115.3800","116.7300","115.2300"
"2016/12/14","115.1900","33962370.0000","115.0400","116.2000","114.9800"
"2016/12/13","115.1900","43293350.0000","113.8400","115.9200","113.7500"
"2016/12/12","113.3000","26176690.0000","113.2900","115.0000","112.4900"
"2016/12/09","113.9500","34324350.0000","112.3100","114.7000","112.3100"
"2016/12/08","112.1200","27049830.0000","110.8600","112.4300","110.6000"
"2016/12/07","111.0300","29976030.0000","109.2600","111.1900","109.1600"
"2016/12/06","109.9500","26160560.0000","109.5000","110.3600","109.1900"
"2016/12/05","109.1100","34113880.0000","110.0000","110.0300","108.2500"
"2016/12/02","109.9000","26481320.0000","109.1700","110.0900","108.8500"
"2016/12/01","109.4900","37034520.0000","110.3650","110.9400","109.0300"
"2016/11/30","110.5200","36151450.0000","111.6000","112.2000","110.2700"
"2016/11/29","111.4600","28507780.0000","110.7800","112.0300","110.0700"
"2016/11/28","111.5700","27054320.0000","111.4300","112.4650","111.3900"
"2016/11/25","111.7900","11475920.0000","111.1300","111.8700","110.9500"
"2016/11/23","111.2300","27420550.0000","111.3600","111.5100","110.3300"
"2016/11/22","111.8000","25931710.0000","111.9500","112.4200","111.4000"
"2016/11/21","111.7300","29164190.0000","110.1200","111.9900","110.0100"
"2016/11/18","110.0600","28310840.0000","109.7200","110.5400","109.6600"
"2016/11/17","109.9500","27623150.0000","109.8100","110.3500","108.8300"
"2016/11/16","109.9900","58724080.0000","106.7000","110.2300","106.6000"
"2016/11/15","107.1100","32230590.0000","106.5700","107.6800","106.1593"
"2016/11/14","105.7100","50901380.0000","107.7100","107.8090","104.0800"
"2016/11/11","108.4300","34117030.0000","107.1200","108.8700","106.5500"
"2016/11/10","107.7900","57097740.0000","111.0900","111.0900","105.8300"
"2016/11/09","110.8800","59118740.0000","109.8800","111.3200","108.0500"
"2016/11/08","111.0600","24129630.0000","110.3100","111.7200","109.7000"
"2016/11/07","110.4100","32361930.0000","110.0800","110.5100","109.4600"
