A Driverless Race Car, a New 360-Degree Camera, and 3 Other Highlights From Mobile World Congress;3/19/2017;"In February, over 2,300 companies showed up at Mobile World   Congress 2017. The annual event, hosted by the GSM Association (a   trade organization for mobile operators), is an opportunity   for the wireless and tech community to showcase its best   ideas. Here were five of this year's high points.Nokia phones 3.0Wireless connections have become the driving force behind many   of today's biggest innovations. It is ironic, then, that one of   the big hits at MWC this year was a dead-but-resuscitated   favorite from the past.Image source: Nokia.makeArticleAd();Nokia(NYSE: NOK) , which primarily concerns itself these days with   wireless network services, has licensed out its phone business to   HMD Global. The start-up phone maker released a revamped 3310   ""dumbphone,"" which was a staple in its early 2000s heyday but   went by the wayside when smartphones became a thing. The new 3310   will purportedly have the same near-indestructible build as the   original but sport a color screen instead of the original   monochrome display.It's a no-frills option the phone maker hopes will find a   niche in today's fancy-smartphone market. The Nokia name will   also be featured on three affordably priced smartphones the   company is trying to market on its own. AfterMicrosoft(NASDAQ: MSFT)  failed in revitalizing Nokia phones a few   years ago, maybe this time things will be different.360-degree camera actionMWC 2017 also had its fair share of new smartphone previews.   One of them, built by the obscure company Protruly of China, was   touted as the world's first ""virtual reality"" phone and has a   360-degree camera built in.How does it work? Two fisheye lenses are built into the top,   one mounted to the front and one at the back. Users can preview   recordings taken on the phone in sphere-shaped videos and then   quickly upload them to sites like YouTube. The phone is not for   sale outside China right now, but it presents a unique feature   that is worth monitoring for popularity.Samsung battles the Microsoft SurfaceImage source: Samsung.Samsung(NASDAQOTH: SSNLF) delayed unveiling its new Galaxy 8 phone. On   display instead was a new tablet designed to go toe-to-toe with   Microsoft's Surface series.In its last fiscal year, Microsoft's Surface sales increased   by $486 million, a 13% increase over the previous year. Samsung   would like to take a chunk out of that nearly $4 billion   business, and its new Galaxy Book could do that as it sports   similar looks and features to the Surface.The devices are still a win for Microsoft, though, as Samsung   Books will use Windows 10 as an operating system. Whether it's a   Galaxy Book or Surface sale, the popularity of ""tablets that   replace your laptop"" earns Microsoft revenue either way.Technology for blue-collar workersA lot of attention has been given to virtual reality the last   few years, but most estimates anticipate augmented reality to be   the bigger market. This is because of the possible applications   in the workplace, everything from digital workstations to data   visualization.Image source: DAQRI.Enter the company DAQRI, which showcased its smart helmet at   MWC. The helmet was designed with industrial workers in mind and   has the ability to overlay everything from data to thermal vision   onto the wearer's view of the real world.The device is powered by anIntel(NASDAQ: INTC) processor and uses input from multiple sensors,   including a basic camera, an infrared camera, and a thermal scale   camera. It puts on display Intel's work in the augmented- and   merged-reality space, and gives us a glimpse into what future   workplaces could look like -- at least workplaces requiring a   hard hat.A self-driving race carA company called Roborace showed up with the world's first   driverless electric race car. The futuristic machine was built to   compete in Formula E, a new all-electric racing circuit started a   few years ago, but the company hopes that one day autonomous   racing will be a thing.In Robocar, it's all about the tech. Instead of a driver and a   pit crew, there is a computer programmed by a team of techies.   Roborace is usingNVIDIA(NASDAQ: NVDA) chips as the brain powering its vehicles.Image source: Roborace.Car races have a long history of being the testing ground for   features we now take for granted while driving. Things like disc   brakes, rearview mirrors, and push-button ignition all got their   start on the track. Roborace sees its autonomous racers helping   develop future autonomous cars for the general public. The   information learned can help automakers and tech companies like   NVIDIA home in on what works best for cars of the future.Mobile World Congress has developed into more than a show for   phones and mobile providers; it's a venue for companies that rely   on wireless tech to show off their latest developments. Investors   can watch the action to see what's the future might look   like.10 stocks we like better than NokiaWhen investing geniuses David and Tom Gardner have a stock tip,     it can pay to listen. After all, the newsletter they have run     for over a decade,Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the10 best stocksfor investors to buy right now... and Nokia wasn't one of them!     That's right -- they think these 10 stocks are even better     buys.Click hereto learn about these picks!*Stock Advisor returns as of February 6, 2017Teresa Kersten is an employee of LinkedIn and is a member     of The Motley Fool's board of directors. LinkedIn is owned by     Microsoft.Nicholas Rossolillohas no position in any stocks mentioned. The Motley Fool owns     shares of and recommends Nvidia. The Motley Fool recommends     Intel. The Motley Fool has adisclosure policy."
A Driverless Race Car, a New 360-Degree Camera, and 3 Other Highlights From Mobile World Congress;3/19/2017;"In February, over 2,300 companies showed up at Mobile World   Congress 2017. The annual event, hosted by the GSM Association (a   trade organization for mobile operators), is an opportunity   for the wireless and tech community to showcase its best   ideas. Here were five of this year's high points.Nokia phones 3.0Wireless connections have become the driving force behind many   of today's biggest innovations. It is ironic, then, that one of   the big hits at MWC this year was a dead-but-resuscitated   favorite from the past.Image source: Nokia.makeArticleAd();Nokia(NYSE: NOK) , which primarily concerns itself these days with   wireless network services, has licensed out its phone business to   HMD Global. The start-up phone maker released a revamped 3310   ""dumbphone,"" which was a staple in its early 2000s heyday but   went by the wayside when smartphones became a thing. The new 3310   will purportedly have the same near-indestructible build as the   original but sport a color screen instead of the original   monochrome display.It's a no-frills option the phone maker hopes will find a   niche in today's fancy-smartphone market. The Nokia name will   also be featured on three affordably priced smartphones the   company is trying to market on its own. AfterMicrosoft(NASDAQ: MSFT)  failed in revitalizing Nokia phones a few   years ago, maybe this time things will be different.360-degree camera actionMWC 2017 also had its fair share of new smartphone previews.   One of them, built by the obscure company Protruly of China, was   touted as the world's first ""virtual reality"" phone and has a   360-degree camera built in.How does it work? Two fisheye lenses are built into the top,   one mounted to the front and one at the back. Users can preview   recordings taken on the phone in sphere-shaped videos and then   quickly upload them to sites like YouTube. The phone is not for   sale outside China right now, but it presents a unique feature   that is worth monitoring for popularity.Samsung battles the Microsoft SurfaceImage source: Samsung.Samsung(NASDAQOTH: SSNLF) delayed unveiling its new Galaxy 8 phone. On   display instead was a new tablet designed to go toe-to-toe with   Microsoft's Surface series.In its last fiscal year, Microsoft's Surface sales increased   by $486 million, a 13% increase over the previous year. Samsung   would like to take a chunk out of that nearly $4 billion   business, and its new Galaxy Book could do that as it sports   similar looks and features to the Surface.The devices are still a win for Microsoft, though, as Samsung   Books will use Windows 10 as an operating system. Whether it's a   Galaxy Book or Surface sale, the popularity of ""tablets that   replace your laptop"" earns Microsoft revenue either way.Technology for blue-collar workersA lot of attention has been given to virtual reality the last   few years, but most estimates anticipate augmented reality to be   the bigger market. This is because of the possible applications   in the workplace, everything from digital workstations to data   visualization.Image source: DAQRI.Enter the company DAQRI, which showcased its smart helmet at   MWC. The helmet was designed with industrial workers in mind and   has the ability to overlay everything from data to thermal vision   onto the wearer's view of the real world.The device is powered by anIntel(NASDAQ: INTC) processor and uses input from multiple sensors,   including a basic camera, an infrared camera, and a thermal scale   camera. It puts on display Intel's work in the augmented- and   merged-reality space, and gives us a glimpse into what future   workplaces could look like -- at least workplaces requiring a   hard hat.A self-driving race carA company called Roborace showed up with the world's first   driverless electric race car. The futuristic machine was built to   compete in Formula E, a new all-electric racing circuit started a   few years ago, but the company hopes that one day autonomous   racing will be a thing.In Robocar, it's all about the tech. Instead of a driver and a   pit crew, there is a computer programmed by a team of techies.   Roborace is usingNVIDIA(NASDAQ: NVDA) chips as the brain powering its vehicles.Image source: Roborace.Car races have a long history of being the testing ground for   features we now take for granted while driving. Things like disc   brakes, rearview mirrors, and push-button ignition all got their   start on the track. Roborace sees its autonomous racers helping   develop future autonomous cars for the general public. The   information learned can help automakers and tech companies like   NVIDIA home in on what works best for cars of the future.Mobile World Congress has developed into more than a show for   phones and mobile providers; it's a venue for companies that rely   on wireless tech to show off their latest developments. Investors   can watch the action to see what's the future might look   like.10 stocks we like better than NokiaWhen investing geniuses David and Tom Gardner have a stock tip,     it can pay to listen. After all, the newsletter they have run     for over a decade,Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the10 best stocksfor investors to buy right now... and Nokia wasn't one of them!     That's right -- they think these 10 stocks are even better     buys.Click hereto learn about these picks!*Stock Advisor returns as of February 6, 2017Teresa Kersten is an employee of LinkedIn and is a member     of The Motley Fool's board of directors. LinkedIn is owned by     Microsoft.Nicholas Rossolillohas no position in any stocks mentioned. The Motley Fool owns     shares of and recommends Nvidia. The Motley Fool recommends     Intel. The Motley Fool has adisclosure policy."

A Driverless Race Car, a New 360-Degree Camera, and 3 Other Highlights From Mobile World Congress;3/19/2017;"In February, over 2,300 companies showed up at Mobile World   Congress 2017. The annual event, hosted by the GSM Association (a   trade organization for mobile operators), is an opportunity   for the wireless and tech community to showcase its best   ideas. Here were five of this year's high points.Nokia phones 3.0Wireless connections have become the driving force behind many   of today's biggest innovations. It is ironic, then, that one of   the big hits at MWC this year was a dead-but-resuscitated   favorite from the past.Image source: Nokia.makeArticleAd();Nokia(NYSE: NOK) , which primarily concerns itself these days with   wireless network services, has licensed out its phone business to   HMD Global. The start-up phone maker released a revamped 3310   ""dumbphone,"" which was a staple in its early 2000s heyday but   went by the wayside when smartphones became a thing. The new 3310   will purportedly have the same near-indestructible build as the   original but sport a color screen instead of the original   monochrome display.It's a no-frills option the phone maker hopes will find a   niche in today's fancy-smartphone market. The Nokia name will   also be featured on three affordably priced smartphones the   company is trying to market on its own. AfterMicrosoft(NASDAQ: MSFT)  failed in revitalizing Nokia phones a few   years ago, maybe this time things will be different.360-degree camera actionMWC 2017 also had its fair share of new smartphone previews.   One of them, built by the obscure company Protruly of China, was   touted as the world's first ""virtual reality"" phone and has a   360-degree camera built in.How does it work? Two fisheye lenses are built into the top,   one mounted to the front and one at the back. Users can preview   recordings taken on the phone in sphere-shaped videos and then   quickly upload them to sites like YouTube. The phone is not for   sale outside China right now, but it presents a unique feature   that is worth monitoring for popularity.Samsung battles the Microsoft SurfaceImage source: Samsung.Samsung(NASDAQOTH: SSNLF) delayed unveiling its new Galaxy 8 phone. On   display instead was a new tablet designed to go toe-to-toe with   Microsoft's Surface series.In its last fiscal year, Microsoft's Surface sales increased   by $486 million, a 13% increase over the previous year. Samsung   would like to take a chunk out of that nearly $4 billion   business, and its new Galaxy Book could do that as it sports   similar looks and features to the Surface.The devices are still a win for Microsoft, though, as Samsung   Books will use Windows 10 as an operating system. Whether it's a   Galaxy Book or Surface sale, the popularity of ""tablets that   replace your laptop"" earns Microsoft revenue either way.Technology for blue-collar workersA lot of attention has been given to virtual reality the last   few years, but most estimates anticipate augmented reality to be   the bigger market. This is because of the possible applications   in the workplace, everything from digital workstations to data   visualization.Image source: DAQRI.Enter the company DAQRI, which showcased its smart helmet at   MWC. The helmet was designed with industrial workers in mind and   has the ability to overlay everything from data to thermal vision   onto the wearer's view of the real world.The device is powered by anIntel(NASDAQ: INTC) processor and uses input from multiple sensors,   including a basic camera, an infrared camera, and a thermal scale   camera. It puts on display Intel's work in the augmented- and   merged-reality space, and gives us a glimpse into what future   workplaces could look like -- at least workplaces requiring a   hard hat.A self-driving race carA company called Roborace showed up with the world's first   driverless electric race car. The futuristic machine was built to   compete in Formula E, a new all-electric racing circuit started a   few years ago, but the company hopes that one day autonomous   racing will be a thing.In Robocar, it's all about the tech. Instead of a driver and a   pit crew, there is a computer programmed by a team of techies.   Roborace is usingNVIDIA(NASDAQ: NVDA) chips as the brain powering its vehicles.Image source: Roborace.Car races have a long history of being the testing ground for   features we now take for granted while driving. Things like disc   brakes, rearview mirrors, and push-button ignition all got their   start on the track. Roborace sees its autonomous racers helping   develop future autonomous cars for the general public. The   information learned can help automakers and tech companies like   NVIDIA home in on what works best for cars of the future.Mobile World Congress has developed into more than a show for   phones and mobile providers; it's a venue for companies that rely   on wireless tech to show off their latest developments. Investors   can watch the action to see what's the future might look   like.10 stocks we like better than NokiaWhen investing geniuses David and Tom Gardner have a stock tip,     it can pay to listen. After all, the newsletter they have run     for over a decade,Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the10 best stocksfor investors to buy right now... and Nokia wasn't one of them!     That's right -- they think these 10 stocks are even better     buys.Click hereto learn about these picks!*Stock Advisor returns as of February 6, 2017Teresa Kersten is an employee of LinkedIn and is a member     of The Motley Fool's board of directors. LinkedIn is owned by     Microsoft.Nicholas Rossolillohas no position in any stocks mentioned. The Motley Fool owns     shares of and recommends Nvidia. The Motley Fool recommends     Intel. The Motley Fool has adisclosure policy."

This Chipmaker Could Benefit From Qualcomm, Inc.'s Data Center Assault;3/17/2017;"Wireless chipmakerQualcomm(NASDAQ: QCOM) is making a pretty big push into the market for   data center chips. Data center chips aren't sold in anywhere near   the volumes that Qualcomm's bread-and-butter smartphone   processors are, but the potential average selling prices as well   as gross profit margin potential per chip are quite a bit better   than a typical smartphone processor.Qualcomm has said that its Centriq 2400 server chip, which   packs 48 of the company's Falkor processor cores, is manufactured   on a foundry 10-nanometer processor. Qualcomm hasn't specified   which of the two companies currently in production on   10-nanometer technologies --Taiwan Semiconductor Manufacturing Company(NYSE: TSM) andSamsung(NASDAQOTH: SSNLF) -- is building the chip, but thanks to a   report from DigiTimes, we know who the winner is.Image source: Qualcomm.makeArticleAd();And the winner is...PerDigiTimes, citing a report from Commercial Times, says that it's Taiwan   Semi that's building the Centriq 2400 for Qualcomm. In fact, not   only is TSMCsetto build the Centriq 2400 for Qualcomm, but the report says that   the chips are in mass production now.This might come as a bit of a surprise to some considering   that Qualcomm is having Samsung build its 10-nanometer Snapdragon   835 smartphone chips, but perhaps the fact that Qualcomm isn't   trying to sell these chips to Samsung may have given it a bit   more liberty when deciding which manufacturer to work with on the   Centriq 2400.Near-term and longer-term implicationsIn the near term, I don't see the Centriq 2400 driving   game-changing levels of chip volume or, ultimately, revenue into   TSMC's coffers, although incremental leading-edge technology   revenue and wafer shipments are always good. As Iwrote previously, I expect that it'll take time for Qualcomm to take significant   share in the data center market, if it ultimately does so.Over the longer term, TSMC could be one of the prime   beneficiaries should the ARM server ecosystem -- of which   Qualcomm is a very prominent member -- take the kind of server   share that ARM had told its investors (back when it was a   publicly traded company) it aspired to take (roughly 25% of the   market).Indeed, TSMC has been consistently highlighting   ""high-performance computing"" (HPC) applications as attractive   long-term growth opportunities beyond the core mobile chip   market. Such markets demand performance and features, which means   that potential customers are likely to be more willing to pay up   to use TSMC's most advanced manufacturing technologies.TSMC will, of course, face indirect competition from   microprocessor giantIntel(NASDAQ: INTC) , the incumbent player in the data center   processor market and a company that manufactures its own chip,   and it will need to deal with rival contract chip manufacturerSamsung(NASDAQOTH: SSNLF) for chip orders from the designers of these   chips for HPC applications.However, TSMC's success in the high end of the mobile   applications processor market, its strong technology execution,   as well as its history as the key manufacturer of FPGA, graphics,   and networking processor chips for other client, should position   it well to capture ARM server processor business.10 stocks we like better than QualcommWhen investing geniuses David and Tom Gardner have a stock tip,     it can pay to listen. After all, the newsletter they have run     for over a decade,Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the10 best stocksfor investors to buy right now... and Qualcomm wasn't one of     them! That's right -- they think these 10 stocks are even     better buys.Click hereto learn about these picks!*Stock Advisor returns as of February 6, 2017Ashraf Eassaowns shares of Intel and Qualcomm. The Motley Fool owns shares     of and recommends Qualcomm. The Motley Fool recommends Intel.     The Motley Fool has adisclosure policy."

How Cypress Semiconductor Could Benefit From the Next iPhone;3/17/2017;"Image source: Cypress Semiconductor.makeArticleAd();Cypress Semiconductor(NASDAQ: CY) shares have gained more than 17% this year thanks   mostly to strong fourth-quarterresultsreleased in early February, with the semiconductor specialist   trading close to its 52-week highs as of this writing.Cypress, however, is not done yet, as recent rumors regardingApple's(NASDAQ: AAPL) next iPhone suggest that its business could get   a big shot in the arm.A design win would be a big dealThe Wall Street Journalhas reported that insiders said Apple is going to ditch the   Lightning connector for a USB-C port in the next iPhone. Though   there is a precedent for the company using USB-C in the MacBook   line, well-known analyst Ming-Chi Kuo believes otherwise. The KGI   Securities analyst reportedly said in a research note obtained byAppleInsiderthat Apple could use ""Type-C power delivery"" for all the upcoming   iPhones this year instead of ditching the Lightning port   altogether in favor of USB-C.It makes sense for Apple to use Type-C power delivery through   the existing Lightning port instead of moving to the USB-C   standard, as the former is good enough to enable fast-charging on   the iPhone. The additional advantage of using USB-C is high-speed   data transmission, but Kuo points out that this is a niche   application for iPhone users, so he thinks Apple will stick to   the existing standard.Additionally, Kuo's comments seem credible because Apple has a   whole line of Lightning accessories under the MFi program on   which it makes money. The company reportedly gets a fee of around   10% of the wholesale cost of an accessory made under this   program. For example, an Apple-certified Lightning to USB cable   costs around $6 at the minimum, so, that would give Apple 60   cents on the sale of each unit.But whatever the case may be, the next iPhone looks to be a   catalyst for Cypress. Investment research provider Needham &   Company estimates that the semiconductor specialist's earnings   could increase by $0.11 to $0.19 per share on revenue gains of   $87.5 million to $157.5 million during the next iPhone cycle if   Apple ditches Lightning for a USB-C port. By comparison, Cypress'   adjusted earnings last quarter were $0.15 per share on revenue of   $530 million.Even if Apple decides to continue using the Lightning port   with Type-C power delivery, Kuo believes that Cypress will win a   spot to supply power delivery chips to enable this technology.   Cypress is a leading provider of Type-C controllers with $295   million worth of design wins in this market, so it could be on   its way to take advantage of the next iPhone's upgraded charging   technology.Cypress previous supplied only components for Apple   accessories, such as a programmable chip for the AirPods.   Therefore, a spot in the next iPhone would be a big win for it as   the Cupertino-based smartphone giant is expected  to make   250 million to 350 million units of the device.Moreover, a closer look at the company's fourth-quarter   conference call transcript (viaSeeking Alpha) reveals that Cypress might be gearing up for the iPhone   production ramp-up in the second half of the year. In response to   a question, Cypress CEO Hassane El-Khoury said:But if you look at the market for Type-C, the expectation     from my side is, that ramp is going to happen in the second     half of 2017, and that's really a typical design-in behavior.     So we will see slight growth in the March quarter, but     primarily would expect us to grow much harder in the second     half.A potential Galaxy S8 bonusApple might not be the only one driving growth in Cypress'   Type-C controllers. Needham expects theSamsung(NASDAQOTH: SSNLF) Galaxy S8 to come equipped with USB-C charging   capabilities. This isn't surprising as this charging standard is   fast replacing the micro USB in Android smartphones.Leaked images of the Galaxy S8 indicate that the Korean   smartphone will indeed come with a USB-C port and Cypress has   been a longtime component supplier to Samsung, so a USB-C port   win in the next flagship device is quite likely.As things stand, Needham expects Samsung to sell somewhere   between 30 million and 60 million Galaxy S8 devices, with Cypress   getting dollar content of $1 to $1.50 in each phone. This puts   its potential revenue from the next Samsung flagship in the range   of $30 million to $90 million, with earnings coming in between   $0.04 and $0.10 per share.Cypress Semiconductor seems on track for two big smartphone   design wins this year that could substantially enhance its   financial performance.10 stocks we like better than Cypress     SemiconductorWhen investing geniuses David and Tom Gardner have a stock tip,     it can pay to listen. After all, the newsletter they have run     for over a decade,Motley Fool Stock Advisor, has tripled the market.*David and Tom just revealed what they believe are the10 best stocksfor investors to buy right now... and Cypress Semiconductor     wasn't one of them! That's right -- they think these 10 stocks     are even better buys.Click hereto learn about these picks!*Stock Advisor returns as of February 6, 2017Harsh Chauhanhas no position in any stocks mentioned. The Motley Fool owns     shares of and recommends Apple. The Motley Fool has the     following options: long January 2018 $90 calls on Apple and     short January 2018 $95 calls on Apple. The Motley Fool     recommends Cypress Semiconductor. The Motley Fool has adisclosure policy."

Micron Technology, Inc. (MU) Stock Still Has More Room to Run;3/17/2017;"InvestorPlace - Stock Market News, Stock Advice & Trading TipsWithout a doubt,Micron Technology, Inc. (NASDAQ:MU) was one of the revelations of the markets last year. Micron stock blasted naysayers with a blistering 53% return. That went a long way in eliminating the foul taste of 2015, when MU hemorrhaged 59% of equity value. Better yet, the momentum is still strong.makeArticleAd();Source:Mike Deal via FlickrYear-to-date, Micron stock is looking at an 18% return. If it can maintain this rate, it will easily pull a repeat of 2016's incredible run.Of course, that's a bigif, but the fundamentals are supportive. As InvestorPlace writer and IPO playbook editorTom Taulli notes, the ""biggest driver for MU is the supply-and-demand situation."" The excess supply of computer chips that killed sales for semiconductors in recent years has eased considerably.Also, the competitive environment for Micron stock is quite favorable. Only a handful of rivals directly impede MU stock, includingSamsung Electronics(OTCMKTS:SSNLF) andSK Hynix Inc(OTCMKTS:HXSCL). Unlike old western movies, this town is more than big enough for all of them, at least for now.The question now is, when the next big headwind comes storming in, will Micron stock be ready? More pointedly, will investors stay patient enough to find out?Lingering Doubts Exist for Micron stockAs great as the MU stock rally was last year, it doesn't completely erase the misery of 2015. A 59% loss in the markets requires a 144% profit to breakeven. The quick math works out like this: 100% ÷ (100% - 59%).7 Dividend Stocks With Yields That Grow Like WeedsAs mentioned before, Micron stock managed 53% in 2016, which is obviously well off the breakeven point. This math exercise also demonstrates the significance of money management, especially for volatile investments.Click to EnlargeFurthermore, even with last year's victory, MU stock is behind for the decade in terms of annual returns.In the last seven years, Micron stock has three good years, but four bad years. Now the average haul is a very encouraging 32%. Still, investors have had to go on a ride to get their share of the glory. What bulls and bears can agree on is that MU stock is not a stock for the squeamish.Finally, a split dynamic in thederivatives markethas left semiconductor traders on tenuous ground. Short interest increased forIntel Corporation(NASDAQ:INTC),Applied Materials, Inc.(NASDAQ:AMAT) and especiallyQualcomm, Inc(NASDAQ:QCOM). It decreased forAdvanced Micro Devices, Inc. (NASDAQ:AMD),Broadcom Ltd(NASDAQ:AVGO), and Micron stock.On paper, MU looks like a crapshoot. However, that doesn't mean it will stay that way.MU Stock Will Look More ConvincingFirst, I think potential buyers should take a small bit of encouragement from the options traders. Yes, big semiconductors are split evenly in terms of sentiment. However, they collectively chose Micron as belonging to the better half of the equation. Since option traders typically have their fingers on the trigger, it's safe to assume that they absorb the latest news with aggressive vigor.Does the Snap Inc (SNAP) Debacle Signal Doom for These Unicorns?On the other hand, traders can be wrong, and sometimes, painfully so. That's why I like to see if there are confirming fundamentals. In MU's last earnings report, the company returned to profitability after three consecutive quarters of droughts. More importantly, Micron stock received an upgrade by Zacks Investment Research to a ""strong buy."" This shift was due to a sizable lift in earnings-per-share expectations.But the biggest draw for MU stock is its technical trend line. Since November of last year, shares have charted a distinct pattern of higher highs and higher lows. This pattern has also occurred above Micron stock's 50- and 200-day moving averages. No sign of weakness exists, apart from the daily ebb and flow of market trading.The real test for Micron will come when it releases its second-quarter results next week. But given the technical enthusiasm for MU, as well as the company's own expectations, I think anything other than a long play is a risky one. It's an old adage but it's still very much relevant - you don't want to fight the tape.As of this writing, Josh Enomoto did not hold a position in any of the aforementioned securities.More From InvestorPlace10 Safe Dividend Stocks to Own During the Next Market Crash7 High-Yield Dividend Stocks That Are Actually SafeThe postMicron Technology, Inc. (MU) Stock Still Has More Room to Runappeared first onInvestorPlace."
