How Arista Networks Is Succeeding in the Battle for the Data Center,3/24/2017,"If you'v had your head in the sand for the past five years, you might have miss the news that cloud comput is kind of a big deal.IDC saysthat spend on public cloud servic and infrastructur will exceed $122 billion thi year, up nearli 25% from last year. Moreover, IDC estim thi type of growth can continu through 2020. That is seven time faster than the rest of the IT industry!It is safe to say that cloud comput is the domin trend in IT spend today, and thi is whi competit among vendor that suppli these massiv data center is so fierce.Two rival in the data center switch market areCisco Systems(NASDAQ: CSCO) andArista Networks(NYSE: ANET) and the latter ha been rack up wins.makeArticleAd();imag source: Getti images.Whi Arista is winningAnalyst have note that Arista' focu on softwar allow it data center client to use cheap ""merchant silicon"" (aka off-the-shelf chips) and compon from low-cost Asian suppliers. Thi allow Arista to make switch use the latest hardwar components, which it can then program with it EO oper system.Given that data center contain vast amount of these switch to connect server and other data centers, the price-perform characterist of software-defin hardwar is a win formula. Cisco ""can't match it,"" Needham analyst Alex Hendersonsaid.And Arista is go for moreArista is also ventur into the rout market. BMO' Tim Long wrote about thi new opportun for Arista' price-disrupt product back in August (viaBarrons): ""Arista can deliv compel TCO [total cost of ownership] advantages, with the compani point to it 100GbE per port price of $3,000 versu $100,000 per port for a tradit router. Ultimately, we believ Arista and the use of merchant silicon will be disrupt to the router market, with optic transport repres a potenti longer-term opportunity.""Whil switch are use to connect servers, computers, and other devices, router are use to connect whole network to the internet or other networks. However, technolog is make the differ between switch and router more blurry, which could allow switch vendor to move into routers, and vice versa. ""Network design is changing. It' get more difficult to distinguish switch from routing,"" Arista CEO Jayshre Ullalsaidrecently. Therefore, it make sens that Arista continu to target Cisco and rout competitorJunip Networks(NYSE: JNPR) .If you can't beat 'em, sue 'emCisco is fight the competit partli in court. Cisco claim Arista infring on it user interfac when design it EO software. Arista, after all, wa found by ex-Cisco employees.In December, a juri side with Arista. While it did find that Arista had infring some Cisco copyrights, it found Cisco did not prove that Arista' design for it command line interfac wa fulli attribut to Cisco' creativity. Thi wa huge win for Arista, which, at least for now, avoid the $335 million in damag Cisco wa seek (not to mention futur licens payments). Cisco is appeal the ruling, so the battl isn't quit over.A new threat to both Cisco and AristaTher is more to the story, however. While Arista is current the disruptor, mani cloud giant such asFacebook,Microsoft,Alphabet, andAmazonar design their own switches.Th extent to which data center custom would design and use their own hardwar is a point of debat among analysts. However, Arista wast no time in responding. On March 7, the compani announc a ""containerized"" version of it EO softwar that would be abl to run on these ""white-box"" hardwar solut from lesser known hardwar companies.Thi make sense. It is better to realiz a potenti threat earli and confront it rather than tri to hold on to the past. Thi could be an even greater problem for Cisco, which still ha the largest market share and biggest brand name. That also mean it ha potenti the most to lose.Th market is on to these trends, however. Cisco trade at 17.5 trail earnings, while Arista trade at a whop 52 time trail earnings. I see further price competit among switch and rout vendor in the month and year ahead, so investor would be smart to watch how thing play out.10 stock we like better than Cisco SystemsWhen invest genius David and Tom Gardner have a stock tip, it can pay to listen. After all, the newslett they have run for over a decade,Motley Fool Stock Advisor, ha tripl the market.*David and Tom just reveal what they believ are the10 best stocksfor investor to buy right now... and Cisco System wasn't one of them! That' right -- they think these 10 stock are even better buys.Click hereto learn about these picks!*Stock Advisor return as of Februari 6, 2017Suzann Frey, an execut at Alphabet, is a member of The Motley Fool' board of directors. Teresa Kersten is an employe of LinkedIn and is a member of The Motley Fool' board of directors. LinkedIn is own by Microsoft.Billi Dubersteinown share of GOOG, AMZN, FB, and MSFT. The Motley Fool own share of and recommend GOOGL, GOOG, AMZN, Arista Networks, and FB. The Motley Fool recommend Cisco Systems. The Motley Fool ha adisclosur policy."
CSRA Stock Gains on Navy Contract Win Worth $39 Million,3/24/2017,"Share ofCSRA Inc.CSRAgain more than 1.5% on Mar 23, after the compani announc a contract win from the Depart of Navi worth $39 million. The origin contract date back to 2009 and the renew will enabl the compani to continu it support to effect manag Navi Public Affairs.makeArticleAd();CSRA is the largest pure play govern IT servic provider. Almost 90% of the company' revenu come from sale to the U.S. feder govern either as a prime contractor or subcontractor. The renew reflect grow prefer for the company' IT servic by feder departments.Frequ Contract Win Boost Book-to-BillW note that CSRA' deep domain knowledg and expertis in next-gener IT servic is help it to win new contract on a frequent basis. At the end of third-quart fiscal 2017, the backlog of sign busi order wa $15.8 billion, of which $2.7 billion wa funded.CSRA Inc. Revenu (TTM)CSRA Inc. Revenu (TTM)|CSRA Inc. QuoteTot backlog increas 3% from the year-ago quarter. Book total $1.9 billion in the report quarter, repres a book-to-bil ratio of 1.5 times. Moreover, 73% of book in the quarter were for new business, while the win rate on new busi wa 46%, well abov management' target of 25%.So far in thi fiscal, the compani ha won $3.1 billion in new business, ahead of it target run-rat of $4 billion each year.Inconsist Revenu Hurt GrowthDespit win frequent contracts, CSRA' revenu growth ha been inconsist sinc it start trade as a standalon company. Sinc Nov 30, 2015, we note that share have declin 6.8% as compar with the ZacksIT Servicesindustry' increas of 10.8%.The project are also not optimist for the upcom quarters. CSRA expect industri book-to-bil for the fourth quarter to be a bit dampen by the ongo transit in the Trump administration.Moreover, slow ramp of the Offic of Personnel Manag (OPM) background investig contract and the larg Armi C4ISR program is anticip to impact the quarter. These program will take some time to gener meaning revenu (especi the OPM contract) which will impact top-lin growth in the near term.Strateg Partnership Key CatalystCSRA' collabor with strateg partner like Amazon Web Servic (AWS), OracleORCL, CiscoCSCO, MicrosoftMSFT, salesforce, SAP and ServiceNow is a key catalyst in our view.Th partnership not onli help the compani in jointli develop differenti solut (like the applic with Oracl Exadata that help in win the HIGLA contract) but also bid for complex contract like Greenway. We believ that these partnership will help the compani win new contract more regularly.Currently, CSRA carri a Zack Rank #3 (Hold). You can seeth complet list of today' Zack #1 Rank (Strong Buy) stock here.Mor Stock News: Thi Is Bigger than the iPhone!It could becom the mother of all technolog revolutions. Appl sold a mere 1 billion iPhon in 10 year but a new breakthrough is expect to gener more than 27 billion devic in just 3 years, creat a $1.7 trillion market.Zack ha just releas a Special Report that spotlight thi fast-emerg phenomenon and 6 ticker for take advantag of it. If you don't buy now, you may kick yourself in 2020.Click here for the 6 trade >>Want the latest recommend from Zack Invest Research? Today, you can download 7 Best Stock for the Next 30 Days.Click to get thi free reportCisco Systems, Inc. (CSCO): Free Stock Analysi ReportCSRA Inc. (CSRA): Get Free ReportMicrosoft Corpor (MSFT): Free Stock Analysi ReportOracl Corpor (ORCL): Free Stock Analysi ReportTo read thi articl on Zacks.com click here.Zack Invest Research"
IBM Partners DCU on Water Management Using IoT Platform,3/23/2017,"Intern Busi Machin CorporationIBMand Dublin Citi Univers (DCU) Water Institut have announc a collabor research pilot to make use of variou Internet of Thing (IoT) technolog for environment manag and monitoring.Mor specifically, sensor develop by DCU will be integr with IBM' cognit IoT and machin learn technolog to conserv and protect natur resourc and address issu pertain to environmental. One such applic will be water qualiti monitor for both marin and freshwat environments.Initially, the sensor will be deploy on Lake Georg in New York State. Later on, IBM and DCU Water Institut will select pilot these technolog in the U.S. and Ireland.Notably, share of IBM gain 0.52% on Wednesday. The stock ha outperform the ZacksComput - Integr Systemsindustri on a year-to-d basis. While the industri gain onli 3.5% dure the period, the stock appreci 5.3%The outperform of the stock could be attribut to grow adopt of the IBM Watson IoT platform as a well as an expand portfolio that is boost it top line.What it Mean for IBM?A per a MarketsandMarket report, smart water manag market is project to reach a whop $20.10 billion by 2021 at a CAGR of 18.9%.Competit is stiff with the presenc of major player such as Veolia Environment, Suez Environment, ITT Corpor and Util and Severn Trent.W believ that IBM' collabor with DCU Water Institut will posit the compani better as it focus on lower the cost of sensor technolog compar to commerci technolog avail in the market. Thi will pave the way for greater adoption.Intern Busi Machin Corpor Price and ConsensusIntern Busi Machin Corpor Price and Consensus|Intern Busi Machin Corpor QuoteMoreover, as per an IDC report, the IoT market is estim to reach a stellar 1.7 trillion by 2020. Although the IoT landscap is current be domin by IntelINTC, follow by MicrosoftMSFT, CiscoCSCOand Alphabet own Google, we expect such collabor to help IBM penetr further in the broader IoT space.Zack RankAt present, IBM carri a Zack Rank #3 (Hold). You can seeth complet list of today' Zack #1 (Strong Buy) Rank stock here.Mor Stock News: Thi Is Bigger than the iPhone!It could becom the mother of all technolog revolutions. Appl sold a mere 1 billion iPhon in 10 year but a new breakthrough is expect to gener more than 27 billion devic in just 3 years, creat a $1.7 trillion market.Zack ha just releas a Special Report that spotlight thi fast-emergingphenomenon and 6 ticker for take advantag of it. If you don't buy now, you may kick yourself in 2020.Click here for the 6 trade >>makeArticleAd();W the latest recommend from Zack Invest Research? Today, you can download 7 Best Stock for the Next 30 Days.Click to get thi free reportCisco Systems, Inc. (CSCO): Free Stock Analysi ReportIntern Busi Machin Corpor (IBM): Free Stock Analysi ReportMicrosoft Corpor (MSFT): Free Stock Analysi ReportIntel Corpor (INTC): Free Stock Analysi ReportTo read thi articl on Zacks.com click here."
"After Hours Most Active for Mar 22, 2017 :  F, YHOO, OSUR, TWTR, FTR, MENT, MSFT, CSCO, GE, PG, SWN, ORCL",3/22/2017,"TheNASDAQ 100 After Hour Indicatori down -.81 to 5,366.75. The total After hour volum is current 32,485,420 share traded.Th follow are themost activ stock for the after hour session:makeArticleAd();Ford Motor Compani (F) is unchang at $11.77, with 19,504,029 share traded. F' current last sale is 84.07% of the target price of $14.Yahoo! Inc. (YHOO) is unchang at $46.06, with 2,349,429 share traded. As report in the last short interest updat the day to cover for YHOO is 7.44783; thi calcul is base on the averag trade volum of the stock.OraSur Technologies, Inc. (OSUR) is -0.11 at $11.95, with 1,736,999 share traded. As report by Zacks, the current mean recommend for OSUR is in the ""buy range"".Twitter, Inc. (TWTR) is -0.06 at $14.92, with 1,511,199 share traded. TWTR' current last sale is 104.7% of the target price of $14.25.Frontier Commun Corpor (FTR) is -0.0604 at $2.05, with 1,496,630 share traded., follow a 52-week high record in today' regular session.Mentor Graphic Corpor (MENT) is unchang at $37.20, with 1,358,706 share traded. MENT' current last sale is 114.02% of the target price of $32.625.Microsoft Corpor (MSFT) is unchang at $65.03, with 1,355,034 share traded. As report by Zacks, the current mean recommend for MSFT is in the ""buy range"".Cisco Systems, Inc. (CSCO) is -0.0205 at $34.08, with 1,218,414 share traded. As report by Zacks, the current mean recommend for CSCO is in the ""buy range"".Gener Electr Compani (GE) is -0.01 at $29.52, with 1,072,348 share traded. GE' current last sale is 86.82% of the target price of $34.Procter & Gambl Compani (The) (PG) is +0.0109 at $91.00, with 1,020,752 share traded. PG' current last sale is 100% of the target price of $91.Southwestern Energi Compani (SWN) is +0.08 at $7.44, with 999,882 share traded. Over the last four week they have had 3 up revis for the earn forecast, for the fiscal quarter end Jun 2017. The consensu EP forecast is $0.19. SWN' current last sale is 62% of the target price of $12.Oracl Corpor (ORCL) is +0.04 at $44.83, with 827,990 share traded. Over the last four week they have had 4 up revis for the earn forecast, for the fiscal quarter end May 2017. The consensu EP forecast is $0.73. As report by Zacks, the current mean recommend for ORCL is in the ""buy range""."
"Silicom Ltd (SILC) Ex-Dividend Date Scheduled for March 23, 2017",3/22/2017,"Silicom Ltd (SILC) will begin trade ex-dividend on March 23, 2017. A cash dividend payment of $1 per share is schedul to be paid on April 05, 2017. Sharehold who purchas SILC prior to the ex-dividend date are elig for the cash dividend payment. Thi mark the 4th quarter that SILC ha paid the same dividend.Th previou trade day' last sale of SILC wa $46.74, repres a -1.54% decreas from the 52 week high of $47.47 and a 83.44% increas over the 52 week low of $25.48.SILC is a part of the Technolog sector, which includ compani such as Cisco Systems, Inc. (CSCO) and Junip Networks, Inc. (JNPR). SILC' current earn per share, an indic of a company' profitability, is $1.77.makeArticleAd();For more inform on the declaration, record and payment dates, visit theSILC Dividend Historypage. OurDividend Calendarha the full list of stock that have an ex-dividend today."
"Technology Sector Update for 03/21/2017: ERIC,CSCO,SILC,CSIQ",3/21/2017,"Top Tech StocksMSFT -1.02%AAPL -0.90%makeArticleAd();IBM -0.93%CSCO -1.30%GOOG -2.04%Technolog stock were in a deep descent Tuesday, with share of tech compani in the S&P 500 sink over 1.3%.In compani news, Ericsson (ERIC) American depositori share retreat Tuesday after Leif Johansson, board chairman at the Finnish mobil phone-maker, dous market specul about a possibl deal for thi firm, say in a CNBC televis interview he ha never taken part in ani discuss about a ""hypothetical"" merger with Cisco System (CSCO).Johannsson also said while the two compani enjoy a ""good relationship,"" it wa ""fairli limited"" at thi time. ""I think from that point of view, we are satisfi with what we see, and obvious as we develop as partners, we are go to assess how ... we can do more together.""ER share were down almost 2% at $6.49 apiec just befor the close.In other sector news,(+) SILC, Win $17 mln design contract from a top-10 cloud compani for a highli custom version of the compani 100-Gigabit high bandwidth switch fabric on a NIC cloud solution.(-) CSIQ, Non-GAAP Q4 EP of $0.24 trail the Capit IQ consensu by $0.17 per share. Revenu fall 40.3% from year-ago level $668.4 mln, roughli mid-way through it guidanc expect between $600 mln to $750 mln but lag the $698.57 mln consensu estimate."
These 3 Stocks Just Raised Their Dividends,3/21/2017,"Incom investor are go to miss winter when it end in a few days.Th season wa full of dividend raises, with mani vari compani increas their distributions. More than a few of these stock were big name on the exchanges, and a lot of those rais were substantial. Recent addit to the 2017 roster of lifter includ the follow companies.Imag source: Getti Images.makeArticleAd();Coca-ColaA longtim favorit among incom investors,Coca-Cola(NYSE: KO) is a dividend aristocrat, one of the small but popular group of stock that have rais their distribut at least onc annual for a minimum of 25 year running. The compani extend it run to a monster 55 year with the latest hike in it quarterli dividend, a 6% lift to $0.37 per share.KO Dividenddata byYChartsOth financi measur for the beverag giant are drop these days, however. In itsfourth quarter, Coke' revenu fell by 6% on a year-over-year basis, while attribut net incom crater by 56%. Much of thi drop is attribut to the company' restructur efforts, which includ the divest of it bottl assets.Anoth concern is that over the past few years, Coke ha spent the bulk of it free cash flow on dividend payments. The compani alway seem to find the mean to keep lift that payout, and as an aristocrat it ha that lofti statu to maintain. So I don't think the streak will end anytim soon. Regardless, I would keep a concern eye on that FCF level.Coke' upcom payout will be dispens on April 3 to stockhold of record as of March 15. At the most recent close stock price, it would yield 3.5%. That' comfort higher than the current 1.9% averag of dividend-pay stock on the S&P 500.CiscoIn contrast to Coke, networking-equip giantCisco(NASDAQ: CSCO) hasn't been play the quarterly-dividend game that long -- it onli start to hand out a payment in 2011. Sinc then, though, that payout ha been rais at least onc everi year; the 2017 edit is a healthi 12% lift to $0.29 per share.That' the good news; the not so good is that the compani ha now record five straight quarter of year-over-year revenu declin and is anticip flat growth at best for the current quarter. In it latest report quarter adjust net profit slip by 2% to land at $2.9 billion. Soft in the router and switch segments, two big busi line for Cisco, were larg to blame.Still, the compani remain immens profitable, with mountain of cash flow through it operations. It most recent annual FCF talli grew by almost 10% over the previou year to over $12 billion -- more than enough scratch to take care of both dividend payment and share buybacks. No investor should worri about the futur of thi payout.CSCO Free Cash Flow (TTM)data byYChartsCisco' new dividend is to be paid on April 26 to sharehold of record as of April 6. It yield a theoret 3.4% on the current stock price.Barrick GoldTh world' largest miner of everyone' favorit preciou metal, Canada'sBarrick Gold(NYSE: ABX) , is make it sharehold ever so slightli richer. The compani ha rais it quarterli distribut by 50%, to $0.03 per share.Ther wa justif for bump the dividend higher. Barrick Gold had a fine fiscal 2016, despit modest declin in the amount of gold it both produc and sold, and a consequ slip in revenu -- plu a gener declin in sell price for most of the second half of the year. Thank in larg part to a reduct in capit expenditures, the compani more than doubl it adjust net profit, to $818 million from 2015' $344 million.Meanwhile, Barrick Gold manag to improv it FCF number by 40%, to just over $1.5 billion. That' far abov what it will pay out in dividends, which on a yield basi remain at under 1%.Regardless, bar ani seriou dive in the gold price or product disasters, the dividend should remain safe. Although the amount paid ha fluctuat somewhat wildli over the past few year -- at one point drop from $0.20 per share to $0.05 -- the compani alway manag to hand one out.ABX Dividenddata byYChartsBarrick Gold paid it enhanc dividend on March 15, to investor of record as of Feb. 28. It yield 0.6%.10 stock we like better than Coca-ColaWhen invest genius David and Tom Gardner have a stock tip, it can pay to listen. After all, the newslett they have run for over a decade,Motley Fool Stock Advisor, ha tripl the market.*David and Tom just reveal what they believ are the10 best stocksfor investor to buy right now... and Coca-Cola wasn't one of them! That' right -- they think these 10 stock are even better buys.Click hereto learn about these picks!*Stock Advisor return as of Februari 6, 2017Eric Volkmanha no posit in ani stock mentioned. The Motley Fool recommend Cisco System and Coca-Cola. The Motley Fool ha adisclosur policy."
"Cisco Is Sitting on a $16 Billion Opportunity, If It Can Hold On",3/20/2017,"Next gener network (NGN) will provid a big opportun forCisco(NASDAQ: CSCO) as telecom compani will need more equip to handl the spike in data traffic. As it turn out, data traffic is estim to grow 53% annual until 2020, creat demand for next-gener rout equipment, a market Cisco current leads.How big could NGN rout get?NGN rout wa 15% of Cisco' busi in fiscal year 2016, which end in Juli last year. The company' market share in thi busi stood at 40% at that time, put the size of the overal market at roughli $18.5 billion .Grand View Research forecast that the revenu opportun from router will rise to $41 billion by 2022, grow at a rate 14.2% annually. Thi growth rate suggest that the size of the rout market will increas to almost $21 billion thi year.makeArticleAd();Cisco' current stand in NGN router put the segment' revenu at $8.40 billion thi fiscal year, up 13% from last year. The compani should get close to thi mark as it NGN rout revenu in the first half of the fiscal year wa almost $4 billion, and it sale should pick up pace in the second half due to order growth.If Cisco can maintain it current slice of the NGN market, it could mean revenu of over $16 billion from the segment by 2022.How Cisco is defend it rout businessTh bad news for Cisco investor is that it domin in router ha slip of late due to competit from Huawei. It current 40% hold on the segment is down from roughli 49% a year ago.However, CEO Chuck Robbin is turn the tide in Cisco' favor and ha led 17 acquisit sinc take over in 2015. Robbin ha primarili focus on software-rel acquisit to bolster the company' hardwar expertise, with the acquisit of Jasper Technolog last year be one such move.Jasper' technolog allow Cisco custom to scale the deploy of Internet of Thing solut as they can both connect and manag devic rang from car to jet planes. The compani is make a smart move by marri softwar excel with it hardwar presence, as a bundl solut should help it sell more routers.Th good news is that the Jasper acquisit ha boost Cisco' custom base. As Robbin point out:Today, Jasper connect more than 40 million devices, includ over 12 million connect vehicles, and we are ad more than 1.5 million new devic per month. The number of enterpris custom util data from the Jasper platform ha grown from 4,000 a year ago to more than 9,000 thi quarter.Additionally, Cisco is also make progress on the hardwar side of thing in technolog such as low power wide area network , or LPWA. These network connect those Internet of Thing devic that need a higher batteri life and have low data consumpt requirements.Imag Source: CiscoLPWA network are estim to account for 28% of the global machin to machin connect by 2020. Cisco is well-plac to tap such an opportun as it ha alreadi deploy a comprehens solut for thi market -- LoRaWAN -- that includ two of it industri routers.A it turn out, the deliveri of both hardwar and softwar solut to custom is help Cisco get better. It NGN rout revenu declin ha slow down to 2% in the first half of fiscal 2017, down from the 4% drop seen last year, and investor can expect more gain due to recent order growth.Cisco' strong market share will be the key to tap the opportun in NGN routers, so it is pull the right string in thi busi by augment it hardwar portfolio with softwar offerings. Thi should allow the compani to maintain it domin in thi market and add billion to the revenu in the long run.10 stock we like better than Cisco SystemsWhen invest genius David and Tom Gardner have a stock tip, it can pay to listen. After all, the newslett they have run for over a decade,Motley Fool Stock Advisor, ha tripl the market.*David and Tom just reveal what they believ are the10 best stocksfor investor to buy right now...and Cisco System wasn't one of them! That' right -- they think these 10 stock are even better buys.Click hereto learn about these picks!*Stock Advisor return as of Februari 6, 2017.Harsh Chauhanha no posit in ani stock mentioned. The Motley Fool recommend Cisco Systems. The Motley Fool ha adisclosur policy."
"After Hours Most Active for Mar 20, 2017 :  LYG, BAC, GM, MTG, MPC, HPQ, INTC, AAPL, CSCO, FOLD, MSFT, ARRY",3/20/2017,"TheNASDAQ 100 After Hour Indicatori down -.25 to 5,413.06. The total After hour volum is current 34,505,353 share traded.Th follow are themost activ stock for the after hour session:makeArticleAd();Lloyd Bank Group Plc (LYG) is +0.01 at $3.49, with 10,780,719 share traded. LYG' current last sale is 153.07% of the target price of $2.28.Bank of America Corpor (BAC) is unchang at $24.44, with 4,174,177 share traded. As report by Zacks, the current mean recommend for BAC is in the ""buy range"".Gener Motor Compani (GM) is +0.08 at $35.79, with 3,388,865 share traded. GM' current last sale is 96.73% of the target price of $37.MGIC Invest Corpor (MTG) is +0.0236 at $10.41, with 2,678,073 share traded. As report by Zacks, the current mean recommend for MTG is in the ""buy range"".Marathon Petroleum Corpor (MPC) is unchang at $50.50, with 1,813,172 share traded. As report by Zacks, the current mean recommend for MPC is in the ""buy range"".HP Inc. (HPQ) is +0.01 at $17.57, with 1,755,449 share traded. Over the last four week they have had 3 up revis for the earn forecast, for the fiscal quarter end Apr 2017. The consensu EP forecast is $0.39. HPQ' current last sale is 108.12% of the target price of $16.25.Intel Corpor (INTC) is unchang at $35.43, with 1,139,610 share traded. As report by Zacks, the current mean recommend for INTC is in the ""buy range"".Appl Inc. (AAPL) is +0.01 at $141.47, with 1,132,921 share traded., follow a 52-week high record in today' regular session.Cisco Systems, Inc. (CSCO) is unchang at $34.28, with 1,056,303 share traded. As report by Zacks, the current mean recommend for CSCO is in the ""buy range"".Amicu Therapeutics, Inc. (FOLD) is -0.0876 at $7.18, with 1,049,150 share traded. As report in the last short interest updat the day to cover for FOLD is 12.720878; thi calcul is base on the averag trade volum of the stock.Microsoft Corpor (MSFT) is unchang at $64.93, with 1,002,818 share traded. As report by Zacks, the current mean recommend for MSFT is in the ""buy range"".Array BioPharma Inc. (ARRY) is +0.3 at $10.37, with 963,027 share traded. As report by Zacks, the current mean recommend for ARRi is in the ""buy range""."
"One Put, One Call Option To Know About for Cisco Systems",3/20/2017,"Consistently, one of the more popular stock peopl enter into theirstock option watchlistat Stock Option Channel is Cisco System Inc (Symbol: CSCO). So thi week we highlight one interest put contract, and one interest call contract, from the Januari 2019 expir for CSCO. The put contract our YieldBoost algorithm identifi as particularli interesting, is at the $23 strike, which ha a bid at the time of thi write of 93 cents. Collect that bid as the premium repres a 4% return against the $23 commitment, or a 2.2% annual rate of return (at Stock Option Channel we call thi theYieldBoost).Sel a put doe not give an investor access to CSCO' upsid potenti the way own share would, becaus the put seller onli end up own share in the scenario where the contract is exercised. So unless Cisco System Inc see it share declin 32.9% and the contract is exercis (result in a cost basi of $22.07 per share befor broker commissions, subtract the 93 cent from $23), the onli upsid to the put seller is from collect that premium for the 2.2% annual rate of return.Turn to the other side of the option chain, we highlight one call contract of particular interest for the Januari 2019 expiration, for sharehold of Cisco System Inc (Symbol: CSCO) look to boost their incom beyond the stock' 3.4% annual dividend yield. Sell the cover call at the $40 strike and collect the premium base on the $1.30 bid, annual to an addit 2.1% rate of return against the current stock price (thi is what we at Stock Option Channel refer to as theYieldBoost), for a total of 5.4% annual rate in the scenario where the stock is not call away. Ani upsid abov $40 would be lost if the stock rise there and is call away, but CSCO share would have to climb 16.6% from current level for that to happen, mean that in the scenario where the stock is called, the sharehold ha earn a 20.4% return from thi trade level, in addit to ani dividend collect befor the stock wa called.makeArticleAd();Th chart below show the trail twelv month trade histori for Cisco System Inc, highlight in green where the $23 strike is locat rel to that history, and highlight the $40 strike in red:Th chart above, and the stock' histor volatility, can be a help guid in combin with fundament analysi to judg whether sell the Januari 2019 put or call option highlight in thi articl deliv a rate of return that repres good reward for the risks. We calcul the trail twelv month volatil for Cisco System Inc (consid the last 251 trade dayCSCO histor stock pricesus close values, as well as today' price of $34.30) to be 16%.Top YieldBoost CSCO Call »"
